user_id,item_id,score
1,919,4
1,1287,5
1,1097,4
1,2294,4
1,1022,5
1,745,3
1,783,4
1,720,3
1,2321,3
2,21,1
2,515,5
2,1265,3
2,2728,3
2,1124,5
2,1784,5
2,3257,3
2,1873,4
2,2126,3
2,1217,3
2,1945,5
2,1198,4
2,780,3
2,3105,4
2,442,3
2,1442,4
2,1962,5
2,457,4
2,3678,3
2,2916,3
2,648,4
3,3552,5
3,2858,4
3,648,3
3,3114,3
3,1196,4
3,1210,4
3,552,4
3,1266,5
3,733,5
4,2951,4
4,3702,4
4,1214,4
4,1240,5
5,3249,1
5,2717,1
5,321,3
5,3386,2
5,908,4
5,2770,4
5,866,4
5,1449,4
5,2289,4
5,24,1
5,1649,4
5,50,5
5,1788,3
5,1909,3
5,2692,4
5,3499,3
5,1535,4
5,2028,2
5,1517,4
5,1213,5
5,1912,3
5,3793,2
5,1095,4
5,1429,3
5,497,3
5,272,3
5,34,4
5,2353,3
5,1392,4
5,2959,4
5,1485,3
5,913,5
6,3578,4
6,920,4
6,17,4
6,34,4
6,2100,3
6,2082,3
6,1210,3
6,1674,4
6,1959,3
6,3682,3
6,3565,4
6,2321,3
7,733,5
7,1722,4
7,1580,4
7,349,5
7,861,4
8,16,4
8,1393,5
8,1265,5
8,2320,2
8,3105,4
8,1120,4
8,345,3
8,589,5
8,1840,4
8,1589,4
8,2442,4
8,110,5
8,1213,5
8,3418,3
8,1653,5
8,2686,4
8,608,5
8,2858,5
8,480,5
8,3148,3
8,2712,3
8,105,4
8,1721,5
9,1343,3
9,1210,4
9,2166,4
9,3717,3
9,1923,5
9,3178,3
9,3948,3
9,162,4
9,920,3
9,1669,3
9,3298,4
9,1961,5
9,805,3
9,1704,4
9,1356,3
9,529,5
9,3270,3
10,2046,4
10,2599,5
10,2001,4
10,3438,3
10,1200,5
10,2040,4
10,1250,3
10,1012,3
10,3358,5
10,916,5
10,2948,4
10,3869,3
10,1376,4
10,3948,4
10,2804,5
10,1233,4
10,3359,3
10,1566,3
10,1654,5
10,1059,5
10,1283,3
10,2006,3
10,2294,4
10,3114,4
10,48,4
10,1225,4
10,1304,3
10,2436,5
10,1586,4
10,339,5
10,1247,3
10,2108,5
10,3525,2
10,2746,5
10,1302,5
10,32,5
10,1387,3
10,3751,5
10,3087,5
10,595,5
10,3095,4
10,2396,5
10,2791,4
10,1023,5
10,1136,4
10,24,3
10,1633,4
10,2080,4
10,1961,5
10,2959,3
10,2997,4
10,743,3
10,3703,2
10,3451,5
10,1927,3
10,3189,4
10,1028,5
10,357,5
10,2081,5
10,1517,3
10,541,5
10,898,4
10,1380,5
10,1127,4
10,1124,5
11,587,3
11,2883,3
11,3182,1
11,1441,3
11,2329,5
11,2335,3
11,2712,1
11,543,5
11,586,1
11,1307,3
11,2706,2
11,1461,1
11,2639,2
11,1916,4
11,440,2
11,2766,4
11,2918,5
11,3178,4
11,1753,4
11,3176,3
11,2355,1
11,3249,1
12,3785,3
12,858,5
12,2616,1
12,813,3
13,1377,3
13,2414,2
13,1479,3
13,1370,3
13,952,3
13,60,2
13,2528,3
13,2628,3
13,592,3
13,590,4
13,919,4
13,648,3
13,260,5
13,1259,4
13,329,4
13,1967,3
13,2094,3
13,3269,3
14,2858,3
14,2686,5
14,2694,1
14,2762,5
15,2028,4
15,1213,4
15,1527,4
15,2506,2
15,733,3
15,2997,2
15,2387,2
15,3534,3
15,2433,4
15,1265,3
15,296,3
15,1422,4
15,2688,3
15,457,4
15,160,2
15,2617,1
15,2724,3
15,2391,3
15,2694,4
15,2712,3
15,2763,3
15,1580,2
15,3624,4
15,1805,4
15,3155,4
15,110,5
15,2002,3
15,1411,3
15,2001,4
15,141,4
15,1619,4
15,2840,4
15,3535,2
16,3516,3
16,2987,3
16,2856,1
16,2699,5
16,2355,5
16,2975,5
17,1428,3
17,1215,4
17,1617,5
17,1265,5
17,1374,4
17,1584,4
17,50,5
17,1580,4
17,2116,4
17,428,5
17,1997,4
17,595,5
17,480,4
17,3006,4
17,3269,3
17,1594,4
17,3700,4
17,913,5
17,1069,4
17,318,5
17,3114,5
17,3147,4
